Name,Synonym,Mol. form.,CAS Reg. No.,Mol. wt.,ΔhydH∞/kJ mol-1 ,kcal/mol
Pentylamine,Amylamine,C5H13N ,110-58-7,87.164,-62.1,-14.8422726
Pentylbenzene,Amylbenzene,C11H16 ,538-68-1,148.245,-49.5,-11.830797
Pentyl formate,Amyl formate,C6H12O2 ,638-49-3,116.158,-48.1,-11.4961886
Hexafluoropropene,Perfluoropropene,C3F6 ,116-15-4,150.022,-17.4,-4.1587044
Phenol,Hydroxybenzene,C6H6O ,108-95-2,94.111,-57.7,-13.7906462
1-Phenyl-1-propanone,Propiophenone,C9H10O ,93-55-0,134.174,-61.9,-14.7944714
Piperidine,Azacyclohexane,C5H11N ,110-89-4,85.148,-65.4,-15.6309924
Propanal,Propionaldehyde,C3H6O ,123-38-6,58.079,-39.4,-9.4168364
Propanamide,Propionamide,C3H7NO ,79-05-0,73.094,-73.4,-17.5430404
Propane,LPG,C3H8 ,74-98-6,44.096,-20.4,-4.8757224
"1,3-Propanediamine","1,3-Diaminopropane",C3H10N2 ,109-76-2,74.124,-85.6,-20.4589136
"1,3-Propanediol","1,3-Propylene glycol",C3H8O2 ,504-63-2,76.095,-81.1,-19.3833866
Propanenitrile,Ethyl cyanide,C3H5N ,107-12-0,55.079,-39.5,-9.440737
1-Propanethiol,Propyl mercaptan,C3H8S ,107-03-9,76.161,-30.2,-7.2179812
Propanoic acid,Propionic acid,C3H6O2 ,79-09-4,74.079,-56.5,-13.503839
1-Propanol,Propyl alcohol,C3H8O ,71-23-8,60.095,-59.9,-14.3164594
2-Propanol,Isopropyl alcohol,C3H8O ,67-63-0,60.095,-58.2,-13.9101492
Propene,Propylene,C3H6 ,115-07-1,42.080,-21.6,-5.1625296
2-Propoxyethanol,Ethylene glycol monopropyl ether,C5H12O2 ,2807-30-9,104.148,-69.6,-16.6348176
Propyl acetate,,C5H10O2 ,109-60-4,102.132,-48.7,-11.6395922
Propylamine,1-Propanamine,C3H9N ,107-10-8,59.110,-56.0,-13.384336
Propylbenzene,Isocumene,C9H12 ,103-65-1,120.191,-36.4,-8.6998184
Propyl butanoate,,C7H14O2 ,105-66-8,130.185,-54.9,-13.1214294
Propyl formate,,C4H8O2 ,110-74-7,88.106,-40.5,-9.679743
Propyl propanoate,Propyl propionate,C6H12O2 ,106-36-5,116.158,-51.2,-12.2371072
Propyne,Methylacetylene,C3H4 ,74-99-7,40.064,-15.6,-3.7284936
Pyridine,Azine,C5H5N ,110-86-1,79.101,-42.1,-10.0621526
Quinoline,1-Azanaphthalene,C9H7N ,91-22-5,129.159,-58.2,-13.9101492
Styrene,Vinylbenzene,C8H8 ,100-42-5,104.150,-28.4,-6.7877704
Succinonitrile,Butanedinitrile,C4H4N2 ,110-61-2,80.088,-58.2,-13.9101492
"1,2,3,4-Tetrachlorobenzene",,C6H2Cl4 ,634-66-2,215.892,-35.0,-8.36521
"1,1,1,2-Tetrachloroethane",,C2H2Cl4 ,630-20-6,167.849,-36.2,-8.6520172
"1,1,2,2-Tetrachloroethane",Acetylene tetrachloride,C2H2Cl4 ,79-34-5,167.849,-34.8,-8.3174088
Tetrachloroethene,Perchloroethylene,C2Cl4 ,127-18-4,165.833,-41.5,-9.918749
Tetrachloromethane,Carbon tetrachloride,CCl4 ,56-23-5,153.823,-30.5,-7.289683
Tetraethylene glycol dimethyl ether,,C10H22O5 ,143-24-8,222.279,-126,-30.114756
"1,1,1,2-Tetrafluoroethane",HFC-134a,C2H2F4 ,811-97-2,102.031,-22.2,-5.3059332
Tetrafluoroethene,Tetrafluoroethylene,C2F4 ,116-14-3,100.015,-15.1,-3.6089906
Tetrafluoromethane,Carbon tetrafluoride,CF4 ,75-73-0,88.005,-13.5,-3.226581
"2,2,3,3-Tetrafluoro-1-propanol",,C3H4F4O ,76-37-9,132.057,-57.9,-13.8384474
Tetrahydrofuran,Tetramethylene oxide,C4H8O ,109-99-9,72.106,-47.3,-11.3049838
Tetrahydropyran,Oxane,C5H10O ,142-68-7,86.132,-48.9,-11.6873934
Thiophene,Thiofuran,C4H4S ,110-02-1,84.140,-29.9,-7.1462794
Toluene,Methylbenzene,C7H8 ,108-88-3,92.139,-32.4,-7.7437944
Tribromomethane,Bromoform,CHBr3 ,75-25-2,252.731,-35.8,-8.5564148
"1,2,3-Trichlorobenzene",,C6H3Cl3 ,87-61-6,181.447,-32.6,-7.7915956
"1,3,5-Trichlorobenzene",,C6H3Cl3 ,108-70-3,181.447,-34.2,-8.1740052
"1,1,1-Trichloroethane",Methyl chloroform,C2H3Cl3 ,71-55-6,133.404,-28.7,-6.8594722
"1,1,2-Trichloroethane",Vinyl trichloride,C2H3Cl3 ,79-00-5,133.404,-32.5,-7.767695
Trichloroethene,Trichloroethylene,C2HCl3 ,79-01-6,131.388,-32.2,-7.6959932
Trichlorofluoromethane,CFC-11,CCl3F ,75-69-4,137.368,-19.8,-4.7323188
Trichloromethane,Chloroform,CHCl3 ,67-66-3,119.378,-33.5,-8.006701
"1,1,2-Trichloro-1,2,2-trifluoroethane",CFC-113,C2Cl3F3 ,76-13-1,187.375,-28.8,-6.8833728
Triethylamine,"N,N-Diethylethanamine ",C6H15N ,121-44-8,101.190,-69.7,-16.6587182
Triethylene glycol dimethyl ether,Triglyme,C8H18O4 ,112-49-2,178.227,-102.4,-24.4742144
"2,2,2-Trifluoroethanol",,C2H3F3O ,75-89-8,100.039,-50.2,-11.9981012
Trifluoromethane,HFC-23,CHF3 ,75-46-7,70.014,-22.6,-5.4015356
"1,1,1-Trifluoro-2-propanol, (±)-",,C3H5F3O ,17556-48-8,114.066,-53.5,-12.786821
Trimethylamine,"N,N-Dimethylmethanamine ",C3H9N ,75-50-3,59.110,-52.7,-12.5956162
"1,2,3-Trimethylbenzene",Hemimellitene,C9H12 ,526-73-8,120.191,-37.4,-8.9388244
"1,2,4-Trimethylbenzene",Pseudocumene,C9H12 ,95-63-6,120.191,-36.6,-8.7476196
"1,3,5-Trimethylbenzene",Mesitylene,C9H12 ,108-67-8,120.191,-39.1,-9.3451346
"2,2,4-Trimethylpentane",Isooctane,C8H18 ,540-84-1,114.229,-31.0,-7.409186
"2,3,4-Trimethylpentane",,C8H18 ,565-75-3,114.229,-38.5,-9.201731
o-Xylene ,"1,2-Dimethylbenzene",C8H10 ,95-47-6,106.165,-37.7,-9.0105262
m-Xylene ,"1,3-Dimethylbenzene",C8H10 ,108-38-3,106.165,-38.6,-9.2256316
p-Xylene ,"1,4-Dimethylbenzene",C8H10 ,106-42-3,106.165,-34.8,-8.3174088
