,Name,Mol. wt.,smiles,kcal/mol,ΔhydH∞/kJ mol-1
84,"2,3-Dichloro-1,1'-biphenyl",223.098,Clc1cccc(c2ccccc2)c1Cl,-10.8986736,-45.6
85,"2,4-Dichloro-1,1'-biphenyl",223.098,Clc1ccc(c(Cl)c1)c2ccccc2,-10.277258,-43.0
86,"2,5-Dichlorobiphenyl",223.098,Clc1ccc(Cl)c(c1)c2ccccc2,-10.8986736,-45.6
87,"2,4'-Dichloro-1,1'-biphenyl",223.098,Clc1ccc(cc1)c2ccccc2Cl,-10.5640652,-44.2
88,Dichlorodifluoromethane,120.914,FC(F)(Cl)Cl,-6.214156,-26.0
89,"2,2-Dichloro-1,1-difluoro-1-methoxyethane",164.966,COC(F)(F)C(Cl)Cl,-7.2657824,-30.4
90,"1,1-Dichloroethane",98.959,CC(Cl)Cl,-7.2418818,-30.3
91,"1,2-Dichloroethane",98.959,ClCCCl,-6.6682674,-27.9
92,"1,1-Dichloroethene",96.943,ClC(Cl)=C,-6.811671,-28.5
93,"cis-1,2-Dichloroethene",96.943,Cl\C=C/Cl,-6.4292614,-26.9
94,"(E)-1,2-Dichloroethene",96.943,Cl\C=C\Cl,-7.0028758,-29.3
95,Dichloromethane,84.933,ClCCl,-7.2418818,-30.3
96,"1,2-Dichloropropane, (±)-",112.986,CC(Cl)CCl,-7.4330866,-31.1
97,"1,3-Dichloropropane",112.986,ClCCCCl,-7.0984782,-29.7
98,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",170.921,FC(F)(Cl)C(F)(F)Cl,-4.8279212,-20.2
99,"1,2-Diethoxyethane",118.174,CCOCCOCC,-17.1845314,-71.9
100,Diethylamine,73.137,CCNCC,-15.3680858,-64.3
101,"N,N-Diethylaniline ",149.233,CCN(CC)c1ccccc1,-10.9225742,-45.7
102,p-Diethylbenzene ,134.218,CCc1ccc(CC)cc1,-11.0898784,-46.4
103,Diethylene glycol dimethyl ether,134.173,COCCOCCOC,-22.9923772,-96.2
104,Diethyl ether,74.121,CCOCC,-11.0898784,-46.4
105,Diethyl sulfide,90.187,CCSCC,-9.6080412,-40.2
106,"1,1-Difluoroethane",66.05,CC(F)F,-4.9474242,-20.7
107,Difluoromethane,52.024,FCF,-4.1109032,-17.2
108,Diiodomethane,267.836,ICI,-9.9426496,-41.6
109,Diisopropyl ether,102.174,CC(C)OC(C)C,-12.3566102,-51.7
110,"1,2-Dimethoxyethane",90.121,COCCOC,-14.1730558,-59.3
111,Dimethylamine,45.084,CNC,-12.6912186,-53.1
112,"2,4-Dimethylaniline",121.18,Cc1ccc(N)c(C)c1,-14.0296522,-58.7
113,"2,5-Dimethylaniline",121.18,Cc1ccc(C)c(N)c1,-14.698869,-61.5
114,"2,6-Dimethylaniline",121.18,Cc1cccc(C)c1N,-14.459863,-60.5
115,"N,N-Dimethylaniline ",121.18,CN(C)c1ccccc1,-11.8546976,-49.6
116,"2,3-Dimethylbutane",86.175,CC(C)C(C)C,-7.7437944,-32.4
117,"3,3-Dimethyl-2-butanone",100.158,CC(=O)C(C)(C)C,-11.352785,-47.5
118,"cis-1,2-Dimethylcyclohexane",112.213,C[C@H]1CCCC[C@H]1C,-9.1539298,-38.3
119,"trans-1,2-Dimethylcyclohexane",112.213,C[C@H]1CCCC[C@@H]1C,-8.6281166,-36.1
120,Dimethyl ether,46.068,COC,-8.126204,-34.0
121,"N,N-Dimethylformamide ",73.094,CN(C)C=O,-15.0334774,-62.9
122,"2,4-Dimethyl-3-pentanone",114.185,CC(C)C(=O)C(C)C,-12.906324,-54.0
123,"2,3-Dimethylpyridine",107.153,Cc1cccnc1C,-13.7906462,-57.7
124,"2,4-Dimethylpyridine",107.153,Cc1ccnc(C)c1,-14.5076642,-60.7
125,"2,5-Dimethylpyridine",107.153,Cc1ccc(C)nc1,-13.1214294,-54.9
126,"2,6-Dimethylpyridine",107.153,Cc1cccc(C)n1,-12.5000138,-52.3
127,"3,4-Dimethylpyridine",107.153,Cc1ccncc1C,-12.069803,-50.5
128,"3,5-Dimethylpyridine",107.153,Cc1cncc(C)c1,-12.2610078,-51.3
129,Dimethyl sulfide,62.134,CSC,-7.528689,-31.5
130,Dimethyl sulfoxide,78.133,C[S](C)=O,-17.1845314,-71.9
131,"2,5-Dimethyltetrahydrofuran",100.158,CC1CCC(C)O1,-13.4560378,-56.3
132,"1,4-Dioxane",88.106,C1COCCO1,-11.5678904,-48.4
133,"1,2-Dipropoxyethane",146.228,CCCOCCOCCC,-18.3556608,-76.8
134,Dipropylamine,101.19,CCCNCCC,-15.5831912,-65.2
135,Dipropyl ether,102.174,CCCOCCC,-11.9263994,-49.9
136,Dipropyl sulfide,118.24,CCCSCCC,-11.4005862,-47.7
137,1-Dodecanol,186.333,CCCCCCCCCCCCO,-19.5745914,-81.9
138,Ethane,30.069,CC,-4.2782074,-17.9
139,"1,2-Ethanediamine",60.098,NCCN,-18.1883566,-76.1
140,"1,2-Ethanediol",62.068,OCCO,-18.4751638,-77.3
141,Ethanethiol,62.134,CCS,-6.9072734,-28.9
142,Ethanol,46.068,CCO,-12.0937036,-50.6
143,2-Ethoxyethanol,90.121,CCOCCO,-15.8699984,-66.4
144,1-Ethoxy-2-methoxyethane,104.148,CCOCCOC,-15.7982966,-66.1
145,Ethyl acetate,88.106,CCOC(C)=O,-10.8269718,-45.3
146,Ethylamine,45.084,CCN,-12.8346222,-53.7
147,2-Ethylaniline,121.18,CCc1ccccc1N,-14.2686582,-59.7
148,4-Ethylaniline,121.18,CCc1ccc(N)cc1,-15.53539,-65.0
149,Ethylbenzene,106.165,CCc1ccccc1,-9.4168364,-39.4
150,Ethyl butanoate,116.158,CCCC(=O)OCC,-12.5956162,-52.7
151,Ethylcyclohexane,112.213,CCC1CCCCC1,-8.7954208,-36.8
152,"Ethyl 2,2-dimethylpropanoate",130.185,CCOC(=O)C(C)(C)C,-12.0220018,-50.3
153,Ethylene,28.053,C=C,-3.2743822,-13.7
154,Ethyl formate,74.079,CCOC=O,-9.1061286,-38.1
155,Ethyl hexanoate,144.212,CCCCCC(=O)OCC,-14.3881612,-60.2
156,Ethyl 2-methylbutanoate,130.185,CCOC(=O)C(C)CC,-13.2409324,-55.4
157,Ethyl 3-methylbutanoate,130.185,CCOC(=O)CC(C)C,-13.384336,-56.0
158,Ethyl 2-methylpropanoate,116.158,CCOC(=O)C(C)C,-12.2610078,-51.3
159,Ethyl pentanoate,130.185,CCCCC(=O)OCC,-13.503839,-56.5
160,Ethyl propanoate,102.132,CCOC(=O)CC,-11.830797,-49.5
161,2-Ethylpyridine,107.153,CCc1ccccn1,-13.3126342,-55.7
162,3-Ethylpyridine,107.153,CCc1cccnc1,-12.786821,-53.5
163,4-Ethylpyridine,107.153,CCc1ccncc1,-12.4761132,-52.2
164,9H-Fluorene,166.218,C1c2ccccc2c3ccccc13,-10.2055562,-42.7
165,Fluorobenzene,96.102,Fc1ccccc1,-7.0028758,-29.3
166,Fluoromethane,34.033,CF,-3.8479966,-16.1
167,Glycerol,92.094,OCC(O)CO,-24.737121,-103.5
168,"1,1,1,2,3,3,3-Heptafluoropropane",170.029,FC(C(F)(F)F)C(F)(F)F,-5.9273488,-24.8
169,Heptanal,114.185,CCCCCCC=O,-13.5277396,-56.6
170,Heptane,100.202,CCCCCCC,-8.126204,-34.0
171,1-Heptanol,116.201,CCCCCCCO,-17.2323326,-72.1
172,"2-Heptanol, (±)-",116.201,CCCCCC(C)O,-17.3518356,-72.6
173,4-Heptanol,116.201,CCCC(O)CCC,-17.9971518,-75.3
174,2-Heptanone,114.185,CCCCCC(C)=O,-13.1214294,-54.9
175,4-Heptanone,114.185,CCCC(=O)CCC,-13.8862486,-58.1
176,"1,1,1,3,3,3-Hexafluoro-2-propanol",168.037,OC(C(F)(F)F)C(F)(F)F,-13.6472426,-57.1
177,Hexanal,100.158,CCCCCC=O,-13.1931312,-55.2
178,Hexane,86.175,CCCCCC,-7.6242914,-31.9
179,Hexanedinitrile,108.141,N#CCCCCC#N,-15.9177996,-66.6
180,1-Hexanol,102.174,CCCCCCO,-16.1090044,-67.4
181,3-Hexanol,102.174,CCCC(O)CC,-16.6348176,-69.6
182,2-Hexanone,100.158,CCCCC(C)=O,-11.6873934,-48.9
183,3-Hexanone,100.158,CCCC(=O)CC,-10.994276,-46.0
184,1-Hexene,84.159,CCCCC=C,-7.2657824,-30.4
185,Hexyl acetate,144.212,CCCCCCOC(C)=O,-14.5315648,-60.8
186,Hexylamine,101.19,CCCCCCN,-15.7504954,-65.9
187,Hexylbenzene,162.271,CCCCCCc1ccccc1,-12.5956162,-52.7
188,3-Hydroxybenzaldehyde,122.122,Oc1cccc(C=O)c1,-16.8977242,-70.7
189,3-Hydroxybenzonitrile,119.121,Oc1cccc(c1)C#N,-16.8977242,-70.7
190,4-Hydroxybenzonitrile,119.121,Oc1ccc(cc1)C#N,-16.8021218,-70.3
